Project No,PKO Date,Branch,Designer,Design Manager,ERP Code,Qty,Amount,Item Name,Product Name,Category,Brand,Default Category,UOM,Project Value,Project Type
14351,02-04-2025,BNG - HSR,Shefali ,,HWHT9281433,88,36983.76,Hettich Onsys Soft close Hinge 25 mm 0 Crank 9281433,Softclose Hinge,Hardware,Hettich,type_modular,nos,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,HWEBRAB2,256.3,1425.03,Ebco - Right Angle Bracket - 20mm x 20mm,Ebco - Right Angle Bracket,Hardware,Ebco,type_neo_modular,nos,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,HWSUHK3CO16,10,1537.7,Sujin Copper CO K-3 Knob,Sujin - Knob-3,Handles,SUJIN,type_neo_modular,nos,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,HWSS DC 8inch,16,739.52,Merixo SS Door Chain 8 inch,Merixo SS Door Chain 8 inch,Hardware,Merixo,type_modular,nos,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,BD-EBB-2023-1114,174.94,4874.18,EB RE Uni 75618 Matt 22x2mm,EB RE Uni 75618 Matt,Edgebanding,REHAU,type_modular,meter,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,BD-LAM-2023-0239,100.29,8567.37,Lam SL SD 1mm 1589 Pearl Metallic(Gold) [BBP],Lam SL SD 1mm 1589 Pearl Metallic(Gold),Laminates,Stylam,type_modular,sft,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,EB INT FE FAB 0.8x22,1538.86,10764.37,EB Internal Fabric Finish 0.8x22mm,Firmedge Internal Fabric EB,Edgebanding,Firmedge,type_modular,meter,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,HDHMR#18,1174.89,280669.98,16 mm HDHMR,HDHMR,Panels,E3,type_modular,sft,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,LAM INT INV FAB,2273.04,76503.9,Fabric Laminate- SUD(Gold),Fabric Laminate- SUD(Gold),Laminates,Bonito,type_modular,sft,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,HW AB 200x10,28,4014.92,Anchor Bolt 200X10,Anchor Bolt,Hardware,Bonito Hardware,type_modular,nos,1200322,Turnkey
14351,02-04-2025,BNG - HSR,Shefali ,,BD-EBB-2023-0213,15.13,439.6,EB RE Uni 75635 Matt 30x2mm,EB RE Uni 75635 Matt,Edgebanding,REHAU,type_modular,meter,1200322,Turnkey
